Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"Randal Grichuk","- - -","RF",107,82,711,163,1,2,1,1,0,0,0,0,,,,,,0.98795181,,"Randal Grichuk",10243,545341
"Zack Wheeler","PHI","P",88,88,541.2,45,43,2,0,2,3,3,0,0,,15,,,,0.97777778,,"Zack Wheeler",10310,554430
"Jon Singleton","- - -","1B",114,105,925.2,695,78,9,6,3,72,3,0,73,12,,,,,0.98849105,,"Jon Singleton",10441,572138
"Enrique Hernández","- - -","2B",64,34,322.2,53,96,5,2,3,18,8,11,0,,,,,,0.96753247,,"Enrique Hernandez",10472,571771
"Enrique Hernández","LAD","3B",100,84,746.2,49,157,11,6,5,19,20,0,2,,,,,,0.94930876,,"Enrique Hernandez",10472,571771
"Enrique Hernández","- - -","SS",83,68,610.2,90,166,15,3,12,33,18,16,1,,,,,,0.94464945,,"Enrique Hernandez",10472,571771
"Chris Sale","- - -","P",67,67,387.1,20,36,2,0,2,1,2,1,0,,41,,,,0.96551724,,"Chris Sale",10603,519242
"Gio Urshela","- - -","1B",42,36,300.2,257,19,1,1,0,27,2,0,25,8,,,,,0.99638989,,"Gio Urshela",10681,570482
"Gio Urshela","- - -","3B",203,177,1593.2,102,325,15,10,5,34,34,0,2,,,,,,0.96606335,,"Gio Urshela",10681,570482
"Jurickson Profar","- - -","LF",306,301,2538.1,528,7,6,5,1,0,1,0,0,,,,,,0.98890943,,"Jurickson Profar",10815,595777
"Adam Duvall","BOS","CF",61,56,478,108,2,0,0,0,0,1,0,0,,,,,,1,,"Adam Duvall",10950,594807
"Adam Duvall","- - -","LF",56,33,329.2,72,1,0,0,0,0,0,0,0,,,,,,1,,"Adam Duvall",10950,594807
"Adam Duvall","- - -","RF",72,64,569.2,123,5,2,2,0,0,2,0,0,,,,,,0.98461538,,"Adam Duvall",10950,594807
"Kevin Kiermaier","- - -","CF",239,193,1702.2,486,7,6,4,2,0,3,0,0,,,,,,0.98797595,,"Kevin Kiermaier",11038,595281
"Merrill Kelly","- - -","P",73,73,428,34,38,7,2,5,2,1,0,1,,29,,,,0.91139241,,"Merrill Kelly",11156,518876
"Whit Merrifield","- - -","2B",138,119,1046,175,257,8,3,5,52,11,43,0,,,,,,0.98181818,,"Whit Merrifield",11281,593160
"Whit Merrifield","- - -","LF",106,86,780,156,3,1,0,1,0,0,0,0,,,,,,0.99375,,"Whit Merrifield",11281,593160
"Yasmani Grandal","- - -","C",163,141,1241.1,1298,39,11,5,6,0,3,0,0,,164,23,9,39,0.99183976,,"Yasmani Grandal",11368,518735
"Jose Quintana","- - -","P",67,67,373.2,23,41,1,0,1,4,4,0,0,,21,,,,0.98461538,,"Jose Quintana",11423,500779
"Gary Sánchez","- - -","C",116,104,936.2,955,52,12,9,3,1,3,1,0,,78,17,9,45,0.98822375,,"Gary Sanchez",11442,596142
"Mark Canha","- - -","1B",71,58,517,447,34,4,3,1,43,2,0,45,5,,,,,0.99175258,,"Mark Canha",11445,592192
"Mark Canha","- - -","LF",118,94,837.2,165,4,2,2,0,0,1,0,0,,,,,,0.98830409,,"Mark Canha",11445,592192
"Mark Canha","- - -","RF",54,39,321.1,65,0,0,0,0,0,0,0,0,,,,,,1,,"Mark Canha",11445,592192
"Christian Yelich","MIL","LF",189,186,1606.2,338,4,4,4,0,0,1,0,0,,,,,,0.98843931,,"Christian Yelich",11477,592885
"Michael A. Taylor","- - -","CF",265,215,1938,603,4,6,4,2,0,0,0,0,,,,,,0.99021207,,"Michael A. Taylor",11489,572191
"Manny Machado","SDP","3B",337,337,2936.1,263,541,29,11,18,62,66,5,6,,,,,,0.96518607,,"Manny Machado",11493,592518
"Bryce Harper","PHI","1B",293,293,2544,2143,178,8,6,1,171,12,1,181,28,,,,,0.99656505,,"Bryce Harper",11579,547180
"Willson Contreras","STL","1B",117,116,987.1,939,81,9,4,4,70,5,1,75,11,,,,,0.99125364,,"Willson Contreras",11609,575929
"Willson Contreras","STL","C",148,139,1195.2,1038,52,11,4,7,2,4,1,1,,79,25,9,45,0.99000908,,"Willson Contreras",11609,575929
"Brandon Drury","LAA","1B",61,43,389.2,290,30,0,0,0,27,3,0,29,4,,,,,1,,"Brandon Drury",11615,592273
"Brandon Drury","LAA","2B",148,131,1135.2,214,322,7,4,3,76,32,47,2,,,,,,0.98710866,,"Brandon Drury",11615,592273
"Jameson Taillon","CHC","P",78,77,430.1,26,30,1,1,0,1,1,0,0,,34,,,,0.98245614,,"Jameson Taillon",11674,592791
"Elias Díaz","- - -","C",303,249,2219,1909,98,22,3,16,2,6,3,3,,156,52,9,84,0.98915722,,"Elias Diaz",11680,553869
"Nick Castellanos","PHI","RF",435,435,3780.1,740,17,3,2,1,0,6,0,0,,,,,,0.99605263,,"Nick Castellanos",11737,592206
"J.T. Realmuto","PHI","C",352,349,3058.2,3202,102,13,0,11,3,16,2,8,,212,66,12,81,0.9960808,,"J.T. Realmuto",11739,592663
"Taijuan Walker","PHI","P",80,65,368,27,52,2,0,2,2,3,0,0,,31,,,,0.97530864,,"Taijuan Walker",11836,592836
"Jon Berti","- - -","3B",87,66,619,45,136,8,4,4,14,14,0,0,,,,,,0.95767196,,"Jon Berti",12037,542932
"Jon Berti","MIA","SS",64,52,443,60,138,7,4,3,32,22,11,1,,,,,,0.96585366,,"Jon Berti",12037,542932
"Kyle Hendricks","- - -","P",81,76,417,21,48,4,1,3,2,2,0,0,,56,,,,0.94520548,,"Kyle Hendricks",12049,543294
"Max Kepler","PHI","LF",97,86,756.1,149,2,0,0,0,0,0,0,0,,,,,,1,,"Max Kepler",12144,596146
"Max Kepler","- - -","RF",255,214,1946.2,430,7,2,2,0,0,1,0,0,,,,,,0.99544419,,"Max Kepler",12144,596146
"Nick Ahmed","- - -","SS",138,124,1070.2,157,315,11,5,6,65,34,33,3,,,,,,0.97722567,,"Nick Ahmed",12147,605113
"Eddie Rosario","- - -","LF",178,160,1387.1,281,6,5,0,5,0,2,0,0,,,,,,0.98287671,,"Eddie Rosario",12155,592696
"Austin Barnes","LAD","C",110,106,921.2,948,17,8,5,3,0,1,0,3,,126,15,4,24,0.99177801,,"Austin Barnes",12158,605131
"Xander Bogaerts","SDP","2B",85,85,735.2,127,187,6,4,2,39,13,27,2,,,,,,0.98125,,"Xander Bogaerts",12161,593428
"Xander Bogaerts","SDP","SS",286,282,2486,325,653,18,10,8,118,69,47,7,,,,,,0.98192771,,"Xander Bogaerts",12161,593428
"Chris Bassitt","TOR","P",94,93,532,33,46,4,0,4,3,3,0,1,,41,,,,0.95180723,,"Chris Bassitt",12304,605135
"Colin Rea","- - -","P",87,73,433.2,51,40,6,2,4,1,1,0,1,,40,,,,0.93814433,,"Colin Rea",12317,607067
"Jace Peterson","- - -","3B",113,88,796,67,148,4,2,2,7,8,0,2,,,,,,0.98173516,,"Jace Peterson",12325,607054
"Kevin Pillar","- - -","CF",65,48,430,119,2,0,0,0,0,0,0,0,,,,,,1,,"Kevin Pillar",12434,607680
"Kevin Pillar","- - -","LF",86,51,480.2,111,1,2,2,0,0,0,0,0,,,,,,0.98245614,,"Kevin Pillar",12434,607680
"Seth Lugo","- - -","P",85,85,498.1,31,53,0,0,0,4,3,0,1,,15,,,,1,,"Seth Lugo",12447,607625
"Curt Casali","- - -","C",79,65,557,580,30,9,4,5,0,0,0,0,,59,15,2,23,0.98546042,,"Curt Casali",12510,592200
"Kolten Wong","- - -","2B",76,60,558.1,93,154,4,3,1,22,14,9,1,,,,,,0.98406375,,"Kolten Wong",12532,543939
"Marcus Semien","TEX","2B",448,448,3897.1,667,1085,15,10,5,236,92,150,11,,,,,,0.99151104,,"Marcus Semien",12533,543760
"C.J. Cron","- - -","1B",61,59,502,459,28,5,2,3,52,2,0,53,6,,,,,0.9898374,,"C.J. Cron",12546,543068
"Eugenio Suárez","- - -","3B",452,448,3964.2,285,779,32,19,12,73,74,3,1,,,,,,0.97080292,,"Eugenio Suarez",12552,553993
"Trevor Story","BOS","SS",204,202,1791,276,531,16,7,9,105,53,52,9,,,,,,0.98055893,,"Trevor Story",12564,596115
"Nick Martinez","- - -","P",140,51,409.1,29,39,6,2,4,2,1,0,1,,34,,,,0.91891892,,"Nick Martinez",12730,607259
"Sonny Gray","- - -","P",89,89,514,34,53,1,0,1,3,3,0,0,,43,,,,0.98863636,,"Sonny Gray",12768,543243
"George Springer","TOR","RF",295,278,2435,522,10,3,2,1,0,1,0,0,,,,,,0.99439252,,"George Springer",12856,543807
"James McCann","- - -","C",156,144,1283.2,1189,63,12,5,7,0,4,0,1,,84,32,2,57,0.99050633,,"James McCann",12859,543510
"Anthony Rendon","LAA","3B",93,92,782.2,74,150,13,7,6,13,13,0,2,,,,,,0.94514768,,"Anthony Rendon",12861,543685
"Tyler Anderson","LAA","P",84,82,456.2,28,28,1,0,1,1,1,0,1,,31,,,,0.98245614,,"Tyler Anderson",12880,542881
"Francisco Lindor","NYM","SS",451,449,3908,576,1074,35,25,10,219,124,96,16,,,,,,0.97922849,,"Francisco Lindor",12916,596019
"Brandon Nimmo","NYM","CF",167,157,1316.2,370,3,4,3,1,0,1,0,0,,,,,,0.98938992,,"Brandon Nimmo",12927,607043
"Brandon Nimmo","NYM","LF",286,261,2331.2,453,7,3,2,1,0,2,0,0,,,,,,0.99352052,,"Brandon Nimmo",12927,607043
"Austin Hedges","- - -","C",205,160,1388.1,1412,43,11,5,6,4,5,3,3,,110,29,1,40,0.99249659,,"Austin Hedges",12976,595978
"Javier Báez","DET","CF",52,43,401,101,2,0,0,0,0,1,0,0,,,,,,1,,"Javier Baez",12979,595879
"Javier Báez","DET","SS",262,246,2139,323,611,35,18,17,119,68,53,9,,,,,,0.96388029,,"Javier Baez",12979,595879
"Cam Gallagher","CLE","C",56,53,420.1,418,19,3,2,1,0,1,0,0,,45,12,2,13,0.99318182,,"Cam Gallagher",12981,595956
"Teoscar Hernández","LAD","LF",120,104,871.2,156,3,3,3,0,0,3,0,0,,,,,,0.98148148,,"Teoscar Hernandez",13066,606192
"Teoscar Hernández","- - -","RF",314,299,2582.2,582,22,5,4,1,0,9,0,0,,,,,,0.99178982,,"Teoscar Hernandez",13066,606192
"Gerrit Cole","NYY","P",50,50,304,14,25,2,1,1,0,0,0,0,,22,,,,0.95121951,,"Gerrit Cole",13125,543037
"Josh Bell","- - -","1B",181,178,1476,1243,100,11,7,4,102,3,0,103,16,,,,,0.99187592,,"Josh Bell",13145,605137
"Jorge Polanco","- - -","2B",196,186,1592,243,418,12,7,5,78,25,54,3,,,,,,0.98216939,,"Jorge Polanco",13152,593871
"Eduardo Rodriguez","- - -","P",62,62,340,7,28,2,1,1,2,2,0,0,,20,,,,0.94594595,,"Eduardo Rodriguez",13164,593958
"Orlando Arcia","- - -","SS",324,310,2761.1,383,762,26,17,9,167,83,84,8,,,,,,0.97779675,,"Orlando Arcia",13185,606115
"Mike Zunino","CLE","C",42,41,339.2,276,17,3,1,2,1,2,1,0,,40,8,5,19,0.98986486,,"Mike Zunino",13265,572287
"Max Muncy","LAD","3B",285,269,2391,164,457,33,19,14,47,49,1,2,,,,,,0.94954128,,"Max Muncy",13301,571970
"Ildemaro Vargas","- - -","2B",60,50,437,97,123,0,0,0,33,13,24,2,,,,,,1,,"Ildemaro Vargas",13324,545121
"Ildemaro Vargas","- - -","3B",96,70,652.2,32,144,9,5,4,12,12,0,0,,,,,,0.95135135,,"Ildemaro Vargas",13324,545121
"Omar Narváez","- - -","C",79,64,564.2,566,19,11,5,6,3,1,3,3,,85,8,2,23,0.98154362,,"Omar Narvaez",13338,553882
"Luke Maile","- - -","C",138,114,1003.1,1055,46,6,3,3,0,0,0,1,,96,33,9,27,0.99457995,,"Luke Maile",13355,571912
"Christian Walker","- - -","1B",418,412,3607.2,3045,207,10,6,4,268,27,1,278,46,,,,,0.9969344,,"Christian Walker",13419,572233
"Marcus Stroman","- - -","P",66,63,330.1,30,41,1,0,1,4,4,0,0,,45,,,,0.98611111,,"Marcus Stroman",13431,573186
"Tom Murphy","- - -","C",53,51,436,417,4,3,0,3,0,0,0,0,,38,2,5,15,0.99292453,,"Tom Murphy",13499,608596
"José Ramírez","CLE","3B",371,369,3233.2,256,642,33,21,11,48,53,0,10,,,,,,0.96455424,,"Jose Ramirez",13510,608070
"Blake Snell","- - -","P",61,61,332.1,10,25,2,0,2,0,0,0,0,,41,,,,0.94594595,,"Blake Snell",13543,605483
"Jesse Winker","- - -","LF",81,71,575,110,8,2,1,1,0,2,0,0,,,,,,0.98333333,,"Jesse Winker",13590,608385
"Patrick Wisdom","CHC","3B",78,65,553.1,62,105,15,11,4,14,14,0,2,,,,,,0.91758242,,"Patrick Wisdom",13602,621550
"Mookie Betts","LAD","2B",88,74,590,100,156,2,2,0,35,12,24,1,,,,,,0.99224806,,"Mookie Betts",13611,605141
"Mookie Betts","LAD","RF",151,119,1040.2,219,9,3,2,1,0,1,0,0,,,,,,0.98701299,,"Mookie Betts",13611,605141
"Mookie Betts","LAD","SS",214,206,1776.1,240,476,18,4,14,82,41,42,0,,,,,,0.97547684,,"Mookie Betts",13611,605141
"Ketel Marte","ARI","2B",351,336,2916,599,863,17,12,5,188,72,120,12,,,,,,0.98850575,,"Ketel Marte",13613,606466
"Carson Kelly","- - -","C",224,206,1820.2,1689,75,5,2,3,4,12,2,3,,127,53,9,48,0.99717354,,"Carson Kelly",13620,608348
"Jeimer Candelario","- - -","1B",61,49,445.1,349,28,3,3,0,31,1,0,34,5,,,,,0.99210526,,"Jeimer Candelario",13621,600869
"Jeimer Candelario","- - -","3B",181,180,1551,111,300,18,7,11,26,26,0,2,,,,,,0.95804196,,"Jeimer Candelario",13621,600869
"Corey Seager","TEX","SS",322,322,2739,395,764,19,9,10,159,87,69,19,,,,,,0.98387097,,"Corey Seager",13624,608369
"Tyrone Taylor","- - -","CF",154,118,1064,320,7,2,2,0,0,2,0,0,,,,,,0.99392097,,"Tyrone Taylor",13675,621438
"Tyrone Taylor","- - -","RF",133,78,765,177,5,2,1,1,0,2,0,0,,,,,,0.98913043,,"Tyrone Taylor",13675,621438
"Jacob Stallings","- - -","C",198,182,1588,1479,57,18,5,12,1,0,3,2,,163,37,7,51,0.98841699,,"Jacob Stallings",13723,607732
"Max Fried","- - -","P",72,72,428,26,58,5,0,5,0,1,0,0,,23,,,,0.94382022,,"Max Fried",13743,608331
"Tomás Nido","- - -","C",79,68,597.2,595,18,9,2,7,1,0,1,1,,49,12,3,16,0.98553055,,"Tomas Nido",13755,621512
"Chris Taylor","- - -","3B",54,33,317.1,21,48,1,0,1,0,0,0,1,,,,,,0.98571429,,"Chris Taylor",13757,621035
"Chris Taylor","- - -","LF",124,66,679.1,156,5,2,2,0,0,1,0,0,,,,,,0.98773006,,"Chris Taylor",13757,621035
