,Team,PA,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,R,RBI,AVG,OBP,SLG,OPS
Richie Palacios,STL,196,165,51,33,9,1,8,31,30,0,0,0,33,0.309,0.418,0.521,0.939
Ryan McKenna,HOU,166,147,43,22,11,1,9,19,34,0,0,0,31,0.293,0.373,0.565,0.938
Anthony Rizzo,NYY,314,263,81,50,19,0,12,51,41,0,0,0,47,0.308,0.42,0.517,0.937
Sam Huff,HOU,323,277,79,47,11,1,20,46,53,0,0,0,57,0.285,0.387,0.549,0.936
Griffin Conine,MIA,334,264,74,45,14,0,15,70,48,0,0,0,50,0.28,0.431,0.504,0.935
Matt Vierling,DET,166,139,41,25,7,2,7,27,24,0,0,0,30,0.295,0.41,0.525,0.935
Casey Schmitt,SFG,174,153,45,23,13,0,9,21,19,0,0,0,28,0.294,0.379,0.556,0.935
Troy Johnston,MIA,325,284,82,44,17,4,17,41,42,0,0,0,66,0.289,0.378,0.556,0.934
Kevin Newman,OAK,164,140,47,32,11,0,4,24,17,0,0,0,24,0.336,0.433,0.5,0.933
Vladimir Guerrero Jr.,TOR,473,392,109,57,28,1,23,81,60,0,0,0,54,0.278,0.402,0.531,0.933
Brent Rooker,OAK,281,224,62,39,8,1,14,57,44,0,0,0,51,0.277,0.423,0.509,0.932
Rob Refsnyder,BOS,307,259,71,37,15,2,17,48,46,0,0,0,47,0.274,0.388,0.544,0.932
Josh Jung,TEX,326,273,76,44,13,0,19,53,43,0,0,0,55,0.278,0.396,0.535,0.931
Daylen Lile,WSN,187,155,50,37,6,1,6,32,13,0,0,0,37,0.323,0.439,0.49,0.929
James McCann,COL,168,136,40,25,8,1,6,32,20,0,0,0,24,0.294,0.429,0.5,0.929
Yainer Diaz,HOU,298,255,69,36,12,3,18,43,49,0,0,0,45,0.271,0.376,0.553,0.929
Rafael Devers,COL,303,257,74,43,15,0,16,46,33,0,0,0,38,0.288,0.396,0.533,0.929
Tyler Stephenson,CIN,272,220,63,39,12,0,12,52,36,0,0,0,45,0.286,0.423,0.505,0.928
Taylor Ward,LAA,253,206,56,31,12,0,13,47,45,0,0,0,53,0.272,0.407,0.519,0.926
Sal Stewart,CIN,322,282,80,46,12,2,20,40,48,0,0,0,39,0.284,0.373,0.553,0.926
Edouard Julien,MIN,360,296,81,49,11,1,20,64,55,0,0,0,71,0.274,0.403,0.52,0.923
Matt Olson,ATL,513,429,118,68,20,1,29,84,81,0,0,0,90,0.275,0.394,0.529,0.923
Matt Chapman,TBR,330,273,76,42,18,1,15,57,42,0,0,0,56,0.278,0.403,0.516,0.919
Pete Alonso,NYM,332,266,65,34,9,1,21,66,51,0,0,0,40,0.244,0.395,0.523,0.918
Nelson Velázquez,SFG,178,151,41,23,7,0,11,27,23,0,0,0,24,0.272,0.382,0.536,0.918
Keibert Ruiz,WSN,164,142,50,39,7,1,3,22,22,0,0,0,15,0.352,0.439,0.479,0.918
Ceddanne Rafaela,BOS,214,177,49,30,7,1,11,37,25,0,0,0,35,0.277,0.402,0.514,0.916
Christian Moore,LAA,165,138,38,24,4,0,10,27,22,0,0,0,25,0.275,0.394,0.522,0.916
Ben Rice,NYY,364,298,82,53,8,2,19,66,43,0,0,0,56,0.275,0.407,0.507,0.914
Mauricio Dubón,HOU,164,134,44,33,7,1,3,30,15,0,0,0,30,0.328,0.451,0.463,0.914
Elvis Andrus,CHW,209,176,50,27,13,2,8,33,34,0,0,0,32,0.284,0.397,0.517,0.914
Francisco Alvarez,NYM,300,241,67,43,10,0,14,59,43,0,0,0,39,0.278,0.42,0.494,0.914
Harold Castro,COL,163,144,45,26,13,1,5,19,17,0,0,0,28,0.312,0.393,0.521,0.914
Ji Man Choi,BOS,339,274,77,47,15,2,13,65,53,0,0,0,29,0.281,0.419,0.493,0.912
Jackson Holliday,BAL,367,303,89,56,18,2,13,64,59,0,0,0,59,0.294,0.417,0.495,0.912
Luis Robert Jr.,CHW,317,282,75,34,19,1,21,35,50,0,0,0,54,0.266,0.347,0.564,0.911
Kerry Carpenter,DET,251,212,56,29,11,2,14,39,33,0,0,0,46,0.264,0.378,0.533,0.911
Starling Marte,NYM,241,199,56,36,8,0,12,42,24,0,0,0,43,0.281,0.407,0.503,0.91
Salvador Perez,KCR,313,265,76,46,14,2,14,48,32,0,0,0,48,0.287,0.396,0.513,0.909
Pete Crow-Armstrong,CHC,173,160,48,29,8,0,11,13,21,0,0,0,33,0.3,0.353,0.556,0.909
Eugenio Suárez,NYM,327,270,70,36,16,0,18,57,48,0,0,0,54,0.259,0.388,0.519,0.907
Ramón Urías,SFG,165,140,41,27,6,0,8,25,22,0,0,0,34,0.293,0.4,0.507,0.907
Jake Burger,PHI,336,291,82,48,15,0,19,45,55,0,0,0,67,0.282,0.378,0.529,0.907
Ezequiel Duran,TEX,209,169,48,28,12,2,6,40,13,0,0,0,46,0.284,0.421,0.485,0.906
Joey Wiemer,TEX,322,256,68,39,15,0,14,66,42,0,0,0,46,0.266,0.416,0.488,0.904
Fernando Tatis Jr.,SDP,445,363,103,67,17,0,19,82,58,0,0,0,52,0.284,0.416,0.488,0.904
Miguel Amaya,CHC,186,153,39,22,5,1,11,33,23,0,0,0,23,0.255,0.387,0.516,0.903
Andrés Chaparro,WSN,166,145,43,26,9,1,7,21,22,0,0,0,37,0.297,0.386,0.517,0.903
Jackson Merrill,SDP,389,333,96,53,27,1,15,56,37,0,0,0,65,0.288,0.391,0.511,0.902
Freddie Freeman,LAD,468,388,106,60,23,2,21,80,47,0,0,0,63,0.273,0.397,0.505,0.902
Drake Baldwin,ATL,456,399,115,67,24,2,22,57,64,0,0,0,74,0.288,0.377,0.524,0.901
CJ Abrams,WSN,171,142,42,28,7,1,6,29,19,0,0,0,23,0.296,0.415,0.486,0.901
Nolan Arenado,STL,243,192,55,35,13,0,7,51,28,0,0,0,40,0.286,0.436,0.464,0.9
Thairo Estrada,OAK,171,136,36,20,9,0,7,35,21,0,0,0,23,0.265,0.415,0.485,0.9
Joey Loperfido,PIT,168,136,35,18,9,0,8,32,28,0,0,0,26,0.257,0.399,0.5,0.899
Mike Brosseau,MIL,255,211,53,31,5,0,17,44,32,0,0,0,55,0.251,0.38,0.517,0.897
Seby Zavala,CLE,291,252,73,41,17,6,9,39,55,0,0,0,42,0.29,0.385,0.512,0.897
Gabriel Arias,CLE,328,285,84,53,16,0,15,43,42,0,0,0,36,0.295,0.387,0.509,0.896
Corey Seager,TEX,328,280,71,37,11,2,21,48,34,0,0,0,34,0.254,0.363,0.532,0.895
Elly De La Cruz,CIN,304,241,59,32,10,1,16,63,44,0,0,0,49,0.245,0.401,0.494,0.895
Yandy Díaz,TBR,334,276,76,46,15,0,15,58,41,0,0,0,43,0.275,0.401,0.493,0.894
Royce Lewis,MIN,404,336,93,59,14,1,19,68,52,0,0,0,69,0.277,0.399,0.494,0.893
José Abreu,HOU,165,134,30,12,7,0,11,31,31,0,0,0,22,0.224,0.37,0.522,0.892
Jahmai Jones,TOR,420,336,84,40,25,1,18,84,78,0,0,0,74,0.25,0.4,0.491,0.891
Gunnar Henderson,BAL,459,392,111,73,13,2,23,67,66,0,0,0,50,0.283,0.388,0.503,0.891
Jake Bauers,LAD,412,349,99,63,16,2,18,63,57,0,0,0,59,0.284,0.393,0.496,0.889
Sam Hilliard,STL,330,284,65,30,6,1,28,46,62,0,0,0,70,0.229,0.336,0.553,0.889
Mike Tauchman,SDP,341,284,81,49,20,0,12,57,39,0,0,0,51,0.285,0.405,0.482,0.887
Josh Donaldson,TOR,465,388,103,60,19,0,24,77,61,0,0,0,58,0.265,0.387,0.5,0.887
Jordan Diaz,OAK,173,141,38,22,8,2,6,32,31,0,0,0,20,0.27,0.405,0.482,0.887
Alec Bohm,PHI,330,285,82,53,13,0,16,45,46,0,0,0,63,0.288,0.385,0.502,0.887
Joey Votto,CIN,178,156,40,20,7,2,11,22,29,0,0,0,38,0.256,0.348,0.538,0.886
Jack López,LAA,142,120,41,30,10,1,0,22,23,0,0,0,13,0.342,0.444,0.442,0.886
J.D. Martinez,ATL,547,474,137,92,16,2,27,73,79,0,0,0,69,0.289,0.384,0.502,0.886
Iván Herrera,STL,328,273,72,42,13,0,17,55,50,0,0,0,53,0.264,0.387,0.498,0.885
Raimel Tapia,LAA,162,134,32,13,10,0,9,28,25,0,0,0,40,0.239,0.37,0.515,0.885
Yordan Alvarez,HOU,324,276,75,45,12,2,16,48,51,0,0,0,36,0.272,0.38,0.504,0.884
Pedro Pagés,STL,223,189,51,29,10,2,10,34,40,0,0,0,50,0.27,0.381,0.503,0.884
Jonathan Araúz,NYM,181,154,39,19,9,1,10,27,25,0,0,0,30,0.253,0.365,0.519,0.884
Evan Carter,TEX,195,160,42,23,10,1,8,35,27,0,0,0,33,0.262,0.395,0.488,0.883
Julio Rodríguez,SEA,614,507,142,97,17,2,26,107,90,0,0,0,62,0.28,0.406,0.475,0.881
Seiya Suzuki,CHC,325,257,73,51,12,0,10,68,54,0,0,0,27,0.284,0.434,0.447,0.881
Danny Jansen,DET,168,143,36,18,8,0,10,25,34,0,0,0,29,0.252,0.363,0.517,0.88
Kevin Smith,COL,164,133,38,28,3,1,6,31,22,0,0,0,23,0.286,0.421,0.459,0.88
Joc Pederson,TEX,326,270,72,42,15,1,14,56,52,0,0,0,48,0.267,0.393,0.485,0.878
Michael Toglia,COL,294,246,69,46,9,2,12,48,54,0,0,0,30,0.28,0.398,0.48,0.878
Jazz Chisholm Jr.,SFG,200,163,44,27,9,0,8,37,32,0,0,0,34,0.27,0.405,0.472,0.877
Tyler Soderstrom,OAK,317,273,69,37,11,1,20,44,44,0,0,0,45,0.253,0.356,0.52,0.876
Paul Goldschmidt,ARI,341,287,83,54,17,0,12,54,58,0,0,0,44,0.289,0.402,0.474,0.876
Pavin Smith,ARI,355,299,84,52,18,0,14,56,59,0,0,0,63,0.281,0.394,0.482,0.876
Eli White,ATL,448,377,103,64,18,0,21,71,62,0,0,0,62,0.273,0.388,0.488,0.876
Nick Allen,SFG,122,110,37,25,10,1,1,12,17,0,0,0,17,0.336,0.402,0.473,0.875
Brendan Donovan,STL,273,231,67,42,16,0,9,42,40,0,0,0,35,0.29,0.399,0.476,0.875
Blake Sabol,CHW,288,241,60,37,4,0,19,47,41,0,0,0,62,0.249,0.372,0.502,0.874
Trevor Larnach,MIN,432,338,85,53,13,0,19,94,62,0,0,0,59,0.251,0.414,0.459,0.873
Ryan O'Hearn,TOR,365,307,79,42,17,3,17,58,55,0,0,0,51,0.257,0.375,0.498,0.873
Trayce Thompson,PHI,329,261,64,36,12,1,15,68,61,0,0,0,56,0.245,0.401,0.471,0.872
Kyle Stowers,ATL,524,449,117,63,26,0,28,75,97,0,0,0,81,0.261,0.366,0.506,0.872
Mitch Haniger,LAD,443,374,100,60,18,1,21,69,63,0,0,0,70,0.267,0.381,0.489,0.87
Brandon Belt,TOR,410,317,71,31,21,0,19,93,57,0,0,0,73,0.224,0.4,0.47,0.87
Carlos Cortes,OAK,207,183,53,34,9,1,9,24,28,0,0,0,34,0.29,0.372,0.497,0.869
Weston Wilson,PHI,338,267,71,45,14,1,11,71,41,0,0,0,52,0.266,0.42,0.449,0.869
Isaac Paredes,SEA,526,435,110,60,23,2,25,91,75,0,0,0,86,0.253,0.382,0.487,0.869
Austin Wells,NYY,340,274,73,47,12,1,13,66,57,0,0,0,51,0.266,0.409,0.46,0.869
Hanser Alberto,CHW,176,154,43,26,8,1,8,22,19,0,0,0,28,0.279,0.369,0.5,0.869
René Pinto,TBR,326,274,73,45,10,4,14,52,46,0,0,0,45,0.266,0.383,0.485,0.868
Ronald Acuña Jr.,ATL,556,464,125,79,18,5,23,92,75,0,0,0,61,0.269,0.39,0.478,0.868
Andrew Benintendi,CHW,227,198,59,38,12,3,6,29,25,0,0,0,31,0.298,0.388,0.48,0.868
Adolis García,TEX,327,270,72,41,18,1,12,57,53,0,0,0,27,0.267,0.394,0.474,0.868
Paul DeJong,MIL,324,272,68,42,5,1,20,52,50,0,0,0,47,0.25,0.37,0.496,0.866
Heriberto Hernández,MIA,351,291,80,53,11,3,13,60,61,0,0,0,57,0.275,0.399,0.467,0.866
Luis Urías,WSN,163,133,35,22,6,0,7,30,19,0,0,0,22,0.263,0.399,0.466,0.865
Nathan Church,STL,197,174,51,33,9,2,7,23,25,0,0,0,29,0.293,0.376,0.489,0.865
Rece Hinds,CIN,317,273,72,47,5,1,19,44,50,0,0,0,42,0.264,0.366,0.498,0.864
Trey Cabbage,ARI,399,331,96,66,18,0,12,68,61,0,0,0,49,0.29,0.411,0.453,0.864
Carlos Santana,TEX,272,231,61,36,11,1,13,41,52,0,0,0,44,0.264,0.375,0.489,0.864
Graham Pauley,SDP,374,313,82,50,13,1,18,61,55,0,0,0,58,0.262,0.382,0.482,0.864
Jonathan Aranda,TBR,339,279,78,51,15,2,10,60,42,0,0,0,30,0.28,0.407,0.455,0.862
Vinnie Pasquantino,KCR,312,263,68,40,12,0,16,49,40,0,0,0,55,0.259,0.375,0.487,0.862
Billy Cook,PIT,254,219,62,39,12,2,9,35,30,0,0,0,42,0.283,0.382,0.479,0.861
C.J. Cron,CLE,327,272,69,42,9,1,17,55,61,0,0,0,41,0.254,0.379,0.482,0.861
Ozzie Albies,ATL,434,356,93,54,21,2,16,78,57,0,0,0,65,0.261,0.394,0.466,0.86
Garrett Cooper,CIN,255,210,55,30,16,0,9,45,41,0,0,0,44,0.262,0.392,0.467,0.859
Tyler O'Neill,CHC,295,246,64,38,12,1,13,49,54,0,0,0,47,0.26,0.383,0.476,0.859
Rafael Marchán,PHI,246,205,61,45,9,0,7,41,28,0,0,0,34,0.298,0.415,0.444,0.859
Rhys Hoskins,MIL,348,290,78,52,9,3,14,58,65,0,0,0,51,0.269,0.391,0.466,0.857
Willie Calhoun,CHC,169,141,40,26,8,2,4,28,21,0,0,0,15,0.284,0.402,0.454,0.856
Cody Bellinger,NYM,235,195,48,25,11,1,11,40,40,0,0,0,37,0.246,0.374,0.482,0.856
Christopher Morel,SEA,599,500,130,79,22,2,27,99,114,0,0,0,82,0.26,0.382,0.474,0.856
Jorge Polanco,HOU,278,228,58,35,10,1,12,50,45,0,0,0,44,0.254,0.388,0.465,0.853
Nick Fortes,KCR,189,161,45,30,7,1,7,28,27,0,0,0,24,0.28,0.386,0.466,0.852
Tyler Locklear,WSN,275,235,61,39,6,1,15,40,44,0,0,0,35,0.26,0.367,0.485,0.852
Kyren Paris,LAA,168,146,36,17,9,1,9,22,33,0,0,0,25,0.247,0.345,0.507,0.852
Maximo Acosta,MIA,374,294,74,52,5,1,16,80,52,0,0,0,43,0.252,0.412,0.439,0.851
Dairon Blanco,KCR,239,211,54,31,8,0,15,28,39,0,0,0,48,0.256,0.343,0.507,0.85
Matthew Lugo,LAA,174,150,45,32,8,0,5,24,31,0,0,0,21,0.3,0.397,0.453,0.85
Colt Keith,DET,166,139,40,26,9,2,3,27,21,0,0,0,21,0.288,0.404,0.446,0.85
Manny Machado,SDP,428,353,89,49,22,0,18,75,54,0,0,0,64,0.252,0.383,0.467,0.85
Jhonkensy Noel,CLE,300,261,69,45,6,1,17,39,48,0,0,0,58,0.264,0.36,0.49,0.85
Francisco Lindor,NYM,308,265,71,43,14,0,14,43,51,0,0,0,51,0.268,0.37,0.479,0.849
Ronny Mauricio,NYM,290,242,72,51,15,0,6,48,41,0,0,0,39,0.298,0.414,0.434,0.848
Eguy Rosario,SDP,314,250,59,34,10,0,15,64,47,0,0,0,41,0.236,0.392,0.456,0.848
Tim Elko,CHW,167,138,34,20,5,1,8,29,34,0,0,0,23,0.246,0.377,0.471,0.848
Addison Barger,TOR,436,368,94,52,22,1,19,68,64,0,0,0,77,0.255,0.372,0.476,0.848
Carter Kieboom,HOU,162,139,41,31,4,0,6,23,22,0,0,0,22,0.295,0.395,0.453,0.848
Logan O'Hoppe,LAA,280,237,65,42,12,1,10,43,42,0,0,0,28,0.274,0.386,0.46,0.846
Wade Meckler,SFG,92,76,23,14,9,0,0,16,18,0,0,0,12,0.303,0.424,0.421,0.845
Ernie Clement,TOR,324,271,80,56,15,4,5,53,38,0,0,0,38,0.295,0.41,0.435,0.845
Martín Maldonado,CHC,233,190,47,29,7,0,11,43,45,0,0,0,36,0.247,0.386,0.458,0.844
Alex Kirilloff,MIN,446,363,92,51,25,1,15,83,54,0,0,0,61,0.253,0.392,0.452,0.844
Jacob Stallings,TEX,259,210,56,34,14,2,6,49,44,0,0,0,31,0.267,0.405,0.438,0.843
Justin Turner,SDP,338,288,82,50,23,2,7,50,47,0,0,0,52,0.285,0.391,0.451,0.842
Jordan Luplow,BOS,326,273,73,49,10,1,13,53,53,0,0,0,44,0.267,0.387,0.454,0.841
Ezequiel Tovar,COL,177,151,43,30,7,0,6,26,23,0,0,0,25,0.285,0.39,0.45,0.84
John Rave,KCR,253,200,52,34,10,1,7,53,32,0,0,0,33,0.26,0.415,0.425,0.84
Ketel Marte,ARI,391,323,78,47,9,2,20,68,63,0,0,0,58,0.241,0.373,0.467,0.84
Jarren Duran,BOS,326,273,75,50,14,0,11,53,48,0,0,0,53,0.275,0.393,0.447,0.84
Randal Grichuk,MIL,362,306,81,51,14,2,14,56,59,0,0,0,44,0.265,0.378,0.461,0.839
Dansby Swanson,CHC,278,238,59,33,11,0,15,40,57,0,0,0,42,0.248,0.356,0.483,0.839
Gabriel Moreno,ARI,325,286,79,49,16,1,13,39,46,0,0,0,46,0.276,0.363,0.476,0.839
Willson Contreras,STL,336,289,73,43,12,0,18,47,47,0,0,0,43,0.253,0.357,0.481,0.838
Lane Thomas,STL,308,279,79,48,18,0,13,29,52,0,0,0,49,0.283,0.351,0.487,0.838
Taylor Trammell,PIT,164,129,30,18,4,1,7,35,37,0,0,0,22,0.233,0.396,0.442,0.838
Patrick Wisdom,CHC,316,264,62,33,10,3,16,52,58,0,0,0,60,0.235,0.361,0.477,0.838
Colby Thomas,OAK,169,142,36,20,9,0,7,27,34,0,0,0,31,0.254,0.373,0.465,0.838
Chase Meidroth,CHW,203,180,51,30,14,1,6,23,38,0,0,0,38,0.283,0.365,0.472,0.837
Gustavo Campero,LAA,162,131,34,21,8,0,5,31,28,0,0,0,19,0.26,0.401,0.435,0.836
Hunter Renfroe,TEX,286,250,70,47,11,1,11,36,39,0,0,0,43,0.28,0.371,0.464,0.835
Spencer Steer,CIN,168,144,38,24,6,1,7,24,28,0,0,0,17,0.264,0.369,0.465,0.834
Otto Lopez,MIA,311,256,73,50,17,0,6,55,43,0,0,0,42,0.285,0.412,0.422,0.834
Jurickson Profar,SFG,183,156,41,25,8,1,7,27,33,0,0,0,20,0.263,0.372,0.462,0.834
Nathaniel Lowe,SFG,195,171,45,27,8,1,9,24,34,0,0,0,35,0.263,0.354,0.48,0.834
Francisco Mejía,TBR,308,258,68,45,10,1,12,50,29,0,0,0,43,0.264,0.383,0.45,0.833
Jonny DeLuca,SFG,155,130,36,23,9,0,4,25,20,0,0,0,14,0.277,0.394,0.438,0.832
Joey Ortiz,PIT,171,139,39,28,7,0,4,32,26,0,0,0,18,0.281,0.415,0.417,0.832
Tim Locastro,NYM,171,139,34,22,4,0,8,32,25,0,0,0,25,0.245,0.386,0.446,0.832
Kyle Manzardo,CLE,328,283,70,37,16,1,16,45,65,0,0,0,32,0.247,0.351,0.481,0.832
Zach Dezenzo,HOU,174,140,37,24,8,1,4,34,33,0,0,0,10,0.264,0.408,0.421,0.829
Nick Pratto,KCR,303,237,62,44,9,2,7,66,56,0,0,0,34,0.262,0.422,0.405,0.827
Will Brennan,CLE,194,173,44,22,12,1,9,21,22,0,0,0,38,0.254,0.335,0.491,0.826
C.J. Kayfus,CLE,321,275,73,47,13,0,13,46,49,0,0,0,44,0.265,0.371,0.455,0.826
Wyatt Langford,TEX,323,259,64,39,12,4,9,64,45,0,0,0,35,0.247,0.396,0.429,0.825
Joey Bart,LAA,166,131,32,19,8,0,5,35,24,0,0,0,13,0.244,0.404,0.42,0.824
Bob Seymour,TBR,337,270,71,43,21,1,6,67,55,0,0,0,32,0.263,0.409,0.415,0.824
Spencer Horwitz,SDP,342,281,70,40,17,2,11,61,49,0,0,0,56,0.249,0.383,0.441,0.824
Nico Hoerner,CHC,165,142,43,35,3,1,4,23,20,0,0,0,18,0.303,0.4,0.423,0.823
Seth Brown,OAK,252,194,44,26,8,1,9,58,43,0,0,0,32,0.227,0.405,0.418,0.823
Kyle Higashioka,NYM,329,271,68,42,13,1,12,58,54,0,0,0,33,0.251,0.383,0.439,0.822
Yohel Pozo,STL,205,174,48,34,6,2,6,31,24,0,0,0,21,0.276,0.385,0.437,0.822
Jason Heyward,DET,164,144,35,17,9,1,8,20,26,0,0,0,21,0.243,0.335,0.486,0.821
Mike Yastrzemski,LAA,185,159,42,25,10,1,6,26,23,0,0,0,19,0.264,0.368,0.453,0.821
Agustín Ramírez,MIA,342,280,72,47,13,1,11,62,48,0,0,0,39,0.257,0.392,0.429,0.821
Ryan Bliss,SEA,537,431,104,57,28,4,15,106,70,0,0,0,73,0.241,0.391,0.429,0.82
Bo Bichette,TOR,400,332,90,61,18,0,11,68,42,0,0,0,58,0.271,0.395,0.425,0.82
Wilyer Abreu,BOS,334,294,76,43,17,2,14,40,63,0,0,0,60,0.259,0.347,0.473,0.82
Leo Jiménez,TOR,344,277,76,55,13,1,7,67,43,0,0,0,37,0.274,0.416,0.404,0.82
Daniel Schneemann,CLE,322,271,70,44,14,0,12,51,60,0,0,0,41,0.258,0.376,0.443,0.819
Mike Zunino,CLE,322,270,65,34,17,1,13,52,62,0,0,0,53,0.241,0.363,0.456,0.819
Michael Brantley,HOU,308,275,76,53,8,1,14,33,42,0,0,0,51,0.276,0.354,0.465,0.819
Mitch Garver,MIN,376,317,80,47,18,1,14,59,70,0,0,0,51,0.252,0.37,0.448,0.818
Cade Marlowe,SEA,567,475,119,68,29,2,20,92,79,0,0,0,87,0.251,0.372,0.446,0.818
Jesse Winker,CIN,164,134,38,30,4,0,4,30,28,0,0,0,15,0.284,0.415,0.403,0.818
Miguel Vargas,SFG,165,136,38,28,6,0,4,29,30,0,0,0,23,0.279,0.406,0.412,0.818
J.P. Martínez,CLE,183,152,38,25,5,0,8,31,28,0,0,0,24,0.25,0.377,0.441,0.818
José Barrero,KCR,168,137,39,29,7,0,3,31,18,0,0,0,20,0.285,0.417,0.401,0.818
Jeff McNeil,NYM,193,160,44,29,11,0,4,33,19,0,0,0,18,0.275,0.399,0.419,0.818
David Peralta,TOR,349,277,72,48,15,2,7,72,57,0,0,0,48,0.26,0.413,0.404,0.817
Tyrone Taylor,HOU,201,173,49,35,8,0,6,28,29,0,0,0,26,0.283,0.383,0.434,0.817
Andrew Knizner,WSN,164,139,37,28,1,1,7,25,18,0,0,0,28,0.266,0.378,0.439,0.817
Nolan Gorman,STL,316,258,58,31,11,1,15,58,45,0,0,0,44,0.225,0.367,0.45,0.817
Grant McCray,SFG,230,193,48,30,8,0,10,37,46,0,0,0,20,0.249,0.37,0.446,0.816
Jake McCarthy,ARI,307,255,72,54,10,1,7,52,37,0,0,0,40,0.282,0.404,0.412,0.816
Brett Baty,NYM,274,232,60,37,13,0,10,42,34,0,0,0,38,0.259,0.372,0.444,0.816
Colson Montgomery,CHW,327,284,65,34,10,0,21,43,61,0,0,0,34,0.229,0.33,0.486,0.816
José Ramírez,CLE,318,276,73,46,14,1,12,42,46,0,0,0,46,0.264,0.362,0.453,0.815
William Contreras,MIL,357,286,70,46,10,2,12,71,60,0,0,0,46,0.245,0.395,0.42,0.815
Brandon Marsh,PHI,335,272,72,48,16,0,8,63,52,0,0,0,40,0.265,0.403,0.412,0.815
Maikel Garcia,KCR,297,260,63,29,19,3,12,37,40,0,0,0,58,0.242,0.337,0.477,0.814
Curtis Mead,PIT,181,157,45,27,15,1,2,24,29,0,0,0,31,0.287,0.381,0.433,0.814
Luis Vázquez,SFG,166,137,37,27,5,0,5,29,25,0,0,0,25,0.27,0.398,0.416,0.814
Jake Alu,WSN,165,138,38,26,8,0,4,27,23,0,0,0,26,0.275,0.394,0.42,0.814
Corbin Carroll,ARI,332,268,59,32,9,3,15,64,54,0,0,0,41,0.22,0.37,0.444,0.814
Luis García Jr.,WSN,206,176,45,27,10,0,8,30,23,0,0,0,31,0.256,0.364,0.449,0.813
Alex Jackson,SFG,166,135,35,22,9,0,4,31,24,0,0,0,25,0.259,0.398,0.415,0.813
Orlando Arcia,ATL,428,351,90,61,14,1,14,77,60,0,0,0,48,0.256,0.39,0.422,0.812
J.T. Realmuto,PHI,317,261,68,44,14,2,8,56,41,0,0,0,46,0.261,0.391,0.421,0.812
Dylan Moore,DET,183,162,45,29,10,0,6,21,26,0,0,0,32,0.278,0.361,0.451,0.812
Trevor Story,BOS,330,289,74,43,16,1,14,41,56,0,0,0,44,0.256,0.348,0.464,0.812
Brice Turang,MIL,314,266,71,51,7,2,11,48,47,0,0,0,44,0.267,0.379,0.432,0.811
Kevin Pillar,NYY,334,283,70,43,12,0,15,51,45,0,0,0,55,0.247,0.362,0.449,0.811
Matt Carpenter,CHC,168,132,34,22,9,0,3,36,27,0,0,0,15,0.258,0.417,0.394,0.811
Teoscar Hernández,STL,334,279,71,49,8,0,14,55,47,0,0,0,38,0.254,0.377,0.434,0.811
Dylan Beavers,BAL,338,278,69,43,14,0,12,60,54,0,0,0,48,0.248,0.382,0.428,0.81
Jakob Marsee,MIA,339,285,75,48,16,2,9,54,61,0,0,0,41,0.263,0.381,0.428,0.809
Nelson Cruz,SDP,383,317,79,51,13,1,14,66,62,0,0,0,58,0.249,0.379,0.429,0.808
Kyle Farmer,MIA,331,287,81,54,19,1,7,44,45,0,0,0,43,0.282,0.378,0.429,0.807
Triston Casas,BOS,322,279,71,45,11,1,14,43,47,0,0,0,47,0.254,0.354,0.452,0.806
Jerar Encarnacion,SFG,242,206,50,32,5,1,12,36,39,0,0,0,27,0.243,0.355,0.451,0.806
Christian Encarnacion-Strand,CIN,167,139,32,18,6,0,8,28,25,0,0,0,29,0.23,0.359,0.446,0.805
Brady House,WSN,250,203,52,37,6,2,7,47,26,0,0,0,42,0.256,0.396,0.409,0.805
Austin Hays,CIN,298,255,65,41,11,2,11,43,52,0,0,0,46,0.255,0.362,0.443,0.805
Austin Slater,WSN,183,160,42,25,10,1,6,23,39,0,0,0,28,0.262,0.355,0.45,0.805
Cody Freeman,TEX,171,143,39,27,8,0,4,28,26,0,0,0,17,0.273,0.392,0.413,0.805
Yasmani Grandal,NYM,269,232,61,39,12,1,9,37,44,0,0,0,38,0.263,0.364,0.44,0.804
Christian Vázquez,MIN,330,276,75,51,16,1,7,54,39,0,0,0,34,0.272,0.391,0.413,0.804
Nick Gonzales,PIT,278,236,66,49,9,1,7,42,32,0,0,0,39,0.28,0.388,0.415,0.803
Junior Caminero,TBR,325,271,68,45,10,1,12,54,46,0,0,0,46,0.251,0.375,0.428,0.803
Bryan Reynolds,PIT,319,265,72,49,16,1,6,54,41,0,0,0,37,0.272,0.395,0.408,0.803
Nolan Schanuel,LAA,163,143,39,25,9,0,5,20,23,0,0,0,21,0.273,0.362,0.441,0.803
Jordan Walker,STL,322,266,67,40,17,2,8,56,52,0,0,0,29,0.252,0.382,0.421,0.803
Caleb Durbin,MIL,291,235,61,41,13,1,6,56,42,0,0,0,29,0.26,0.402,0.4,0.802
Jake Rogers,DET,205,169,41,27,5,1,8,36,47,0,0,0,22,0.243,0.376,0.426,0.802
Jake Cronenworth,SDP,334,275,69,43,15,2,9,59,39,0,0,0,38,0.251,0.383,0.418,0.801
Alex Freeland,LAD,365,306,77,50,12,3,12,59,63,0,0,0,56,0.252,0.373,0.428,0.801
Riley Adams,WSN,242,193,47,32,7,0,8,49,32,0,0,0,37,0.244,0.397,0.404,0.801
