,Inning,Inning Half,Event,Batter,Bases,Balls,Strikes,Outs,Team 1 Score,Team 2 Score,Pitcher
89,4,top,ground_out,6,"[0, 0, 0]",3,0,3,0,1,2
90,4,bottom,ball,14,"[0, 0, 0]",1,0,0,0,1,1
91,4,bottom,ball,14,"[0, 0, 0]",2,0,0,0,1,1
92,4,bottom,ball,14,"[0, 0, 0]",3,0,0,0,1,1
93,4,bottom,strike,14,"[0, 0, 0]",3,1,0,0,1,1
94,4,bottom,strike,14,"[0, 0, 0]",3,2,0,0,1,1
95,4,bottom,strike,14,"[0, 0, 0]",3,3,1,0,1,1
96,4,bottom,ground_out,15,"[0, 0, 0]",0,0,2,0,1,1
97,4,bottom,ball,16,"[0, 0, 0]",1,0,2,0,1,1
98,4,bottom,strike,16,"[0, 0, 0]",1,1,2,0,1,1
99,4,bottom,ball,16,"[0, 0, 0]",2,1,2,0,1,1
100,4,bottom,ball,16,"[0, 0, 0]",3,1,2,0,1,1
101,4,bottom,strike,16,"[0, 0, 0]",3,2,2,0,1,1
102,4,bottom,strike,16,"[0, 0, 0]",3,3,3,0,1,1
103,5,top,fly_out,7,"[0, 0, 0]",0,0,1,0,1,2
104,5,top,strike,8,"[0, 0, 0]",0,1,1,0,1,2
105,5,top,home_run,8,"[0, 0, 0]",0,1,1,1,1,2
106,5,top,strike,1,"[0, 0, 0]",0,1,1,1,1,2
107,5,top,ball,1,"[0, 0, 0]",1,1,1,1,1,2
108,5,top,ground_out,1,"[0, 0, 0]",1,1,2,1,1,2
109,5,top,ball,2,"[0, 0, 0]",1,0,2,1,1,2
110,5,top,ball,2,"[0, 0, 0]",2,0,2,1,1,2
111,5,top,strike,2,"[0, 0, 0]",2,1,2,1,1,2
112,5,top,strike,2,"[0, 0, 0]",2,2,2,1,1,2
113,5,top,ball,2,"[0, 0, 0]",3,2,2,1,1,2
114,5,top,strike,2,"[0, 0, 0]",3,3,3,1,1,2
115,5,bottom,ball,17,"[0, 0, 0]",1,0,0,1,1,1
116,5,bottom,strike,17,"[0, 0, 0]",1,1,0,1,1,1
117,5,bottom,strike,17,"[0, 0, 0]",1,2,0,1,1,1
118,5,bottom,ball,17,"[0, 0, 0]",2,2,0,1,1,1
119,5,bottom,ball,17,"[0, 0, 0]",3,2,0,1,1,1
120,5,bottom,ball,17,"[1, 0, 0]",4,2,0,1,1,1
121,5,bottom,strike,18,"[1, 0, 0]",0,1,0,1,1,1
122,5,bottom,ball,18,"[1, 0, 0]",1,1,0,1,1,1
123,5,bottom,ground_out,18,"[1, 0, 0]",1,1,1,1,1,1
124,5,bottom,ball,10,"[1, 0, 0]",1,0,1,1,1,1
125,5,bottom,ball,10,"[1, 0, 0]",2,0,1,1,1,1
126,5,bottom,ball,10,"[1, 0, 0]",3,0,1,1,1,1
127,5,bottom,strike,10,"[1, 0, 0]",3,1,1,1,1,1
128,5,bottom,ball,10,"[1, 1, 0]",4,1,1,1,1,1
129,5,bottom,ball,11,"[1, 1, 0]",1,0,1,1,1,1
130,5,bottom,ball,11,"[1, 1, 0]",2,0,1,1,1,1
131,5,bottom,fly_out,11,"[1, 1, 0]",2,0,2,1,1,1
132,5,bottom,ground_out,12,"[1, 1, 0]",0,0,3,1,1,1
