,Team,W,L,IP,H,R,BB,SO,BF,RA9,WHIP,K/9
Lucas Sims,STL,0,0,3.0,2,0,1,3,12,0.0,1.0,9.0
Steven Matz,ARI,0,0,3.0,3,2,3,2,15,6.0,2.0,6.0
Drew Smith,NYM,0,0,2.6666666666666665,3,3,1,4,12,10.12,1.5,13.5
Aaron Ashby,MIL,0,0,2.6666666666666665,5,6,3,2,16,20.25,3.0,6.75
Chris Paddack,SDP,0,0,2.6666666666666665,2,0,1,2,11,0.0,1.12,6.75
Josh Hader,TOR,0,0,2.6666666666666665,5,3,4,4,17,10.12,3.38,13.5
Landen Roupp,SFG,0,0,2.6666666666666665,0,1,1,3,9,3.38,0.38,10.12
Julian Merryweather,CHC,0,0,2.6666666666666665,2,4,1,2,11,13.5,1.12,6.75
Greg Weissert,SEA,0,0,2.3333333333333335,1,1,1,2,9,3.86,0.86,7.71
Kris Bubic,KCR,0,0,2.3333333333333335,1,1,0,2,8,3.86,0.43,7.71
Jose E. Hernandez,PIT,0,0,2.3333333333333335,2,0,2,1,11,0.0,1.71,3.86
Jimmy Herget,NYY,0,0,2.3333333333333335,4,5,4,2,15,19.29,3.43,7.71
Tommy Kahnle,TEX,0,0,2.3333333333333335,2,2,2,1,11,7.71,1.71,3.86
Nick Martinez,LAD,0,0,2.0,0,0,3,2,9,0.0,1.5,9.0
MacKenzie Gore,WSN,0,0,2.0,1,2,2,2,9,9.0,1.5,9.0
A.J. Minter,CLE,0,0,1.6666666666666667,3,1,2,3,10,5.4,3.0,16.2
Rafael Montero,LAD,0,0,1.6666666666666667,0,0,0,1,5,0.0,0.0,5.4
Zack Littell,ATL,0,0,1.6666666666666667,3,3,1,1,9,16.2,2.4,5.4
Bailey Falter,SDP,0,0,1.3333333333333333,1,0,2,1,7,0.0,2.25,6.75
Joel Payamps,TOR,0,0,1.3333333333333333,2,3,3,4,9,20.25,3.75,27.0
Tanner Scott,NYY,0,0,1.3333333333333333,1,2,2,2,7,13.5,2.25,13.5
Jhoan Duran,OAK,0,0,1.0,1,0,0,1,4,0.0,1.0,9.0
Brad Hand,LAA,0,0,1.0,0,0,0,2,3,0.0,0.0,18.0
Davis Martin,CHW,0,0,1.0,2,1,0,0,5,9.0,2.0,0.0
Tony Santillan,CIN,0,0,1.0,3,6,1,2,7,54.0,4.0,18.0
Jose Quintana,TEX,0,0,1.0,1,0,1,0,5,0.0,2.0,0.0
DL Hall,WSN,0,0,1.0,1,1,0,1,4,9.0,1.0,9.0
Adrián Martínez,OAK,0,0,1.0,2,2,0,2,5,18.0,2.0,18.0
Calvin Faucher,SDP,0,0,0.6666666666666666,2,2,0,0,4,27.0,3.0,0.0
Tanner Rainey,HOU,0,0,0.6666666666666666,2,2,0,1,4,27.0,3.0,13.5
Sean Manaea,ATL,0,0,0.6666666666666666,0,0,0,1,2,0.0,0.0,13.5
Matt Bowman,STL,0,0,0.6666666666666666,1,0,0,0,3,0.0,1.5,0.0
Ian Hamilton,NYY,0,0,0.3333333333333333,0,0,0,0,1,0.0,0.0,0.0
Hyun Jin Ryu,TOR,0,0,0.3333333333333333,1,0,0,0,2,0.0,3.0,0.0
Adam Oller,SDP,0,0,0.3333333333333333,0,0,2,1,3,0.0,6.0,27.0
Edward Cabrera,MIA,0,0,0.3333333333333333,1,1,1,0,3,27.0,6.0,0.0
Dylan Floro,ARI,0,0,0.3333333333333333,0,0,0,0,1,0.0,0.0,0.0
Eduard Bazardo,TBR,0,0,0.3333333333333333,0,0,0,0,1,0.0,0.0,0.0
