Inning,Inning Half,Event,Detailed Event,Contact Power,Pitch Type,Pitch Outcome,Batter,Batter Number,Bases,Baserunners,Baserunning Event,Baserunning Result,Balls,Strikes,Outs,Team 1 Score,Team 2 Score,Pitcher
4,top,foul,foul,NA,changeup,strike,Bryan Reynolds,9,"[0, 1, 0]","[0, 'Colby Thomas', 0]",None,safe,0,1,1,4,0,Mike Clevinger
4,top,strike,swinging strike,NA,fastball,strike,Bryan Reynolds,9,"[0, 1, 0]","[0, 'Colby Thomas', 0]",None,safe,0,2,1,4,0,Mike Clevinger
4,top,strikeout,strikeout swinging,NA,slider,strike,Bryan Reynolds,9,"[0, 1, 0]","[0, 'Colby Thomas', 0]",None,safe,0,3,2,4,0,Mike Clevinger
4,top,foul,foul,NA,curveball,strike,Mark Vientos,1,"[0, 1, 0]","[0, 'Colby Thomas', 0]",None,safe,0,1,2,4,0,Mike Clevinger
4,top,ball,ball,NA,fastball,ball,Mark Vientos,1,"[0, 1, 0]","[0, 'Colby Thomas', 0]",None,safe,1,1,2,4,0,Mike Clevinger
4,top,strike,called strike,NA,fastball,strike,Mark Vientos,1,"[0, 1, 0]","[0, 'Colby Thomas', 0]",None,safe,1,2,2,4,0,Mike Clevinger
4,top,ball,ball,NA,fastball,ball,Mark Vientos,1,"[0, 1, 0]","[0, 'Colby Thomas', 0]",None,safe,2,2,2,4,0,Mike Clevinger
4,top,foul,foul,NA,fastball,strike,Mark Vientos,1,"[0, 1, 0]","[0, 'Colby Thomas', 0]",None,safe,2,2,2,4,0,Mike Clevinger
4,top,out,fly out,soft,changeup,strike,Mark Vientos,1,"[0, 1, 0]","[0, 'Colby Thomas', 0]",None,safe,2,2,3,4,0,Mike Clevinger
4,bottom,strike,called strike,NA,slider,strike,Alex Verdugo,5,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,0,4,0,Clarke Schmidt
4,bottom,out,fly out,hard,slider,strike,Alex Verdugo,5,"[0, 0, 0]","[0, 0, 0]",None,NA,0,1,1,4,0,Clarke Schmidt
4,bottom,out,ground out,soft,slider,strike,Leo Jiménez,6,"[0, 0, 0]","[0, 0, 0]",None,NA,0,0,2,4,0,Clarke Schmidt
4,bottom,single,line drive single,medium,slider,strike,Jonathan Davis,7,"[1, 0, 0]","['Jonathan Davis', 0, 0]",None,safe,0,0,2,4,0,Clarke Schmidt
4,bottom,ball,ball,NA,slider,ball,Brandon Nimmo,8,"[1, 0, 0]","['Jonathan Davis', 0, 0]",None,safe,1,0,2,4,0,Clarke Schmidt
4,bottom,ball,ball,NA,slider,ball,Brandon Nimmo,8,"[1, 0, 0]","['Jonathan Davis', 0, 0]",None,safe,2,0,2,4,0,Clarke Schmidt
4,bottom,strike,called strike,NA,curveball,strike,Brandon Nimmo,8,"[1, 0, 0]","['Jonathan Davis', 0, 0]",None,safe,2,1,2,4,0,Clarke Schmidt
4,bottom,ball,ball,NA,curveball,ball,Brandon Nimmo,8,"[1, 0, 0]","['Jonathan Davis', 0, 0]",None,safe,3,1,2,4,0,Clarke Schmidt
4,bottom,walk,walk,NA,slider,ball,Brandon Nimmo,8,"[1, 1, 0]","['Brandon Nimmo', 'Jonathan Davis', 0]",None,safe,4,1,2,4,0,Clarke Schmidt
4,bottom,ball,ball,NA,curveball,ball,Graham Pauley,9,"[1, 1, 0]","['Brandon Nimmo', 'Jonathan Davis', 0]",None,safe,1,0,2,4,0,Clarke Schmidt
4,bottom,ball,ball,NA,slider,ball,Graham Pauley,9,"[1, 1, 0]","['Brandon Nimmo', 'Jonathan Davis', 0]",None,safe,2,0,2,4,0,Clarke Schmidt
4,bottom,strike,swinging strike,NA,curveball,strike,Graham Pauley,9,"[1, 1, 0]","['Brandon Nimmo', 'Jonathan Davis', 0]",None,safe,2,1,2,4,0,Clarke Schmidt
